Year,Citation,Link,Category,Sub Cat,Quote, ,Background Purpose,Background Purpose (sub cat),further research
2021,"Blackshear, S., Chalkias, K., Chatzigiannis, P., Faizullabhoy, R., Khaburzaniya, I., Kogias, E. K., ... & Zakian, T. (2021, March). Reactive key-loss protection in blockchains. In International Conference on Financial Cryptography and Data Security (pp. 431-450). Springer, Berlin, Heidelberg.",https://eprint.iacr.org/2021/289.pdf,Deadman’s switch,Deadman’s key,"Dead man’s key. As a defense against key destruction attacks, one could specify a secondary key for the account - a dead man’s key. This key can have weaker storage restrictions and can be distributed more freely as its only role is to issue Challenge transactions. To execute a successful attack, the adversary would need to destroy both the signing key and all copies of this secondary key.
",,,,
2017,"Luongo, M., & Pon, C. (2017). The keep network: A privacy layer for public blockchains. KEEP Network, Tech. Rep., 2018.[Online]. Available: https://keep. network/whitepaper.",https://static.coinpaprika.com/storage/cdn/whitepapers/448413.pdf,Deadman’s switch,Deadman’s key,"A dead man switch is a device that is auto- matically activated in case its owner becomes incapacitated. Keeps enable a particular kind of dead man switch- publishing a secret, under certain contract conditions.
Examples of dead man switch applica- tions with keeps include automated inheri- tance (“send my beneficiary my private key if I don’t check in quarterly”), arbitration with time limits (“if no decision is made in 10 blocks, publish a shared secret”), as well as protection for leakers (“publish a key to these insurance files if I don’t check in”).
",,,,
2019,"
Hinkes, A. M. (2019). Throw away the key, or the key holder? coercive contempt for lost or forgotten cryptocurrency private keys, or obstinate holders. Northwestern Journal of Technology and Intellectual Property, 16(4), 225.
Chicago

",https://scholarlycommons.law.northwestern.edu/cgi/viewcontent.cgi?article=1319&=&context=njtip&=&sei-redir=1&referer=https%253A%252F%252Fscholar.google.com%252Fscholar%253Fstart%253D10%2526q%253Ddeadman%2525E2%252580%252599s%252Bswitch%252B%2525E2%252580%25259Cblockchain%2525E2%252580%25259D%2526hl%253Den%2526as_sdt%253D0%252C21#search=%22deadman%E2%80%99s%20switch%20%E2%80%9Cblockchain%E2%80%9D%22,Deadman’s switch,Deadman’s key,"A multisig wallet or smart contract may be configured to create a “dead man’s switch,” wherein a smart contract or other software may act as a third party that will periodically check if the private key holder is “alive,”50 and if not, “throw the switch” and submit a transaction of cryptoassets controlled by that wallet to another wallet without the need for a human third party’s intervention.51 However, a dead man’s switch may fail if the software relied upon also fails, is hacked, or if the underlying system is forked.52 A dead man’s switch may be used to passively transact cryptoassets in case of “duress” that prevents the settlor of the switch from confirming their vitality.
",,,,
2019,"
Hinkes, A. M. (2019). Throw away the key, or the key holder? coercive contempt for lost or forgotten cryptocurrency private keys, or obstinate holders. Northwestern Journal of Technology and Intellectual Property, 16(4), 225.
Chicago

",https://scholarlycommons.law.northwestern.edu/cgi/viewcontent.cgi?article=1319&=&context=njtip&=&sei-redir=1&referer=https%253A%252F%252Fscholar.google.com%252Fscholar%253Fstart%253D10%2526q%253Ddeadman%2525E2%252580%252599s%252Bswitch%252B%2525E2%252580%25259Cblockchain%2525E2%252580%25259D%2526hl%253Den%2526as_sdt%253D0%252C21#search=%22deadman%E2%80%99s%20switch%20%E2%80%9Cblockchain%E2%80%9D%22,Deadman’s switch,Deadman’s key,"Specialized key structures, known as multiple signature or “multisig” wallets,26 split the private key into N sub-keys where some subset M of N keys are required to spend cryptoassets controlled by that wallet.27 Multisig wallets are often used when cryptoasset ownership or control is intended to be shared, to secure cryptoassets by holding multiple sub-private keys in different locations,28 or as a governance tool to prevent unexpected or unintended transactions.2",,,,
2021,"Lesavre, L., Varin, P., & Yaga, D. (2021). Blockchain networks: Token design and management overview (No. NIST Internal or Interagency Report (NISTIR) 8301). National Institute of Standards and Technology.",https://nvlpubs.nist.gov/nistpubs/ir/2021/NIST.IR.8301.pdf,Deadman’s switch,Deadman’s key,"A wallet can implement a dead man’s switch to recover a private key; after a certain period without activity, the wallet distributes a private key to select entities. This places a burden on the owner of the private key to continuously reset the timer with activity. Otherwise, the private key or tokens will automatically be sent to their specified entities",,,,
2021,"Lesavre, L., Varin, P., & Yaga, D. (2021). Blockchain networks: Token design and management overview (No. NIST Internal or Interagency Report (NISTIR) 8301). National Institute of Standards and Technology.",https://nvlpubs.nist.gov/nistpubs/ir/2021/NIST.IR.8301.pdf,Deadman’s switch,Deadman’s key,"Multi-signature wallets can also restore access to tokens when losing one or more private keys as long as access remains to the requisite number of private keys necessary to transfer the tokens. Moreover, if a wallet supports secret sharing and one or more shares of a secret key become compromised, new random shares may be computed—a process known as resharing. Resharing occurs either in response to a compromised share or periodically.",,,,
2021,"Lesavre, L., Varin, P., & Yaga, D. (2021). Blockchain networks: Token design and management overview (No. NIST Internal or Interagency Report (NISTIR) 8301). National Institute of Standards and Technology.",https://nvlpubs.nist.gov/nistpubs/ir/2021/NIST.IR.8301.pdf,Deadman’s switch,Deadman’s key,"Smart Contract Wallets: For individual users, smart contract vaults or wallets can make it easier to develop tailored account management models with additional security and recovery features while externally maintaining persistent identifiers, for interactions with other accounts. They act as proxies allowing for separation of concerns with respect to regular user-controlled wallets holding private keys, which, however, may still be subject to transaction submission fees or permissioning schemes depending on the base layer protocol. These account management models can be implemented directly as features within smart contract vaults or through a collection of authorized modules. They can permit multi-signature schemes and security and recoverability rules, such as security periods, thresholds requirements, and emergency modes. In delegated account recovery models, the wallet owner defines a set of recovery addresses, the private keys of which can be held in custody across the owner’s devices, by trusted intermediaries, or social connections. Notably, such account recovery models do not require the use of seed phrases or full account custody by a third party. Wallet applications may abstract away features supported by smart contract vaults by deploying the smart contracts internally on behalf of users when creating new accounts. Since smart contracts can hold tokens on behalf of users, schemes can be built that allow tokens to be sent to users even before they create a wallet. Instead, a smart contract is deployed with a mechanism that allows it to be claimed later by the new user via a known trusted attribute (e.g., phone number). Joint or “Treasury” Vaults: Groups of users or organizations can share the ownership and management of an account and the tokens it contains by using a multi-signature or “treasury” smart contract vault that enables trustees to propose token withdrawals and requires a certain number of them to approve each proposal before conducting a withdrawal. Such joint vaults may also implement additional agreed-upon clauses. Protocol Collaterals/Deposit Vaults: Protocols can use smart contract vaults (or deposit contracts) to receive tokens and condition their release. Token collateralization is used to secure individual transactions, such as atomic swaps (see Section 4.1.2.1), through self-enforceable rules. On a wider scale, token collateralization—or staking—is also used to build cryptoeconomic incentives for community-controlled networks, either at the base layer or at the smart contract layer. When staked, tokens can earn yields or provide benefits and privileges within the protocol (see Section 6.1). In proof-of-stake consensus models (see Appendix A), staking serves as the basis for coordinating participants and supporting blockchain network operations (e.g., rewards for participants staking tokens). Certain staking models involve a period during which tokens are locked up (i.e., they cannot be transferred) and subject to penalties, acting as programmable security deposits. On-chain collaterals are also used to enable financial instruments (see Section 6.2), such as for lending and borrowing. The rules that condition the release of smart contract collateral funds can be based on internal blockchain data or external data sources (see Section 5.4). Collateralized token owners can build proofs based on the collateral to authenticate with third parties (see Section 6.4).",,,,
2021,"Lesavre, L., Varin, P., & Yaga, D. (2021). Blockchain networks: Token design and management overview (No. NIST Internal or Interagency Report (NISTIR) 8301). National Institute of Standards and Technology.",https://nvlpubs.nist.gov/nistpubs/ir/2021/NIST.IR.8301.pdf,Deadman’s switch,Deadman’s key,"Smart contracts are accounts that are internal to the blockchain and can serve as programmable vaults to receive token deposits with built-in rules and automated agreements, allowing on-chain custody or reserve. Smart contract vaults are also interchangeably called deposit, escrow, multisignature contracts, or simply smart contracts. Note that, as discussed in Section 2.1.3, to hold tokens in custody, smart contracts must implement the necessary logic for handling the corresponding types of tokens. Smart contracts can record deposits as either an “internal” non-transferable balance or as new units of a separate token (or wrapper) that represent transferable withdrawal rights (i.e., “tokenized” collateral). Since there may be regulatory implications for users, protocols may let users opt in on whether to allow transfers of the withdrawal rights or not. A proxy smart contract may also allow adding, verifiably suspending, or conditioning the ability to transfer collateral withdrawal right tokens or giving a third party the ability to place a hold without modifying the issuing protocols. Key collateralization schemes, particularly useful for securing individual transactions, include cryptographic timelocks to place time conditions and hashlocks to require the knowledge of a secret. A hashed timelock contract (HTLC) is a smart contract that implements these two techniques, allowing for deposit contracts to be built with vesting periods and conditioned refunds.",,,,
2014,"Noonan, A. K. (2014). Bitcoin or Bust: Can One Really Trust One's Digital Assets. Est. Plan. & Cmty. Prop. LJ, 7, 583.",https://ttu-ir.tdl.org/bitstream/handle/2346/73634/16_7EstPlan&CmtyPropLJ583(2014-2015).pdf?sequence=1,Deadman’s switch,Deadman’s key,"Another option is referred to as the ""Dead Man's Switch."" 1 After an investor's death, a computer server can sign off on the transaction by using its own key.317 This transaction works in the following manner: The server may confirm the investor's death by accessing the investor's death certificate or by periodically sending the user an email link."" Once the server confirms the investor's death, the server will sign the transaction and transfer bitcoins to the intended beneficiary.3 ' 9 The issue with this option is that the server could shut down permanently if the computer loses contact with the beneficiary or has any reason to suspect fraud.320",,,,
2014,"Noonan, A. K. (2014). Bitcoin or Bust: Can One Really Trust One's Digital Assets. Est. Plan. & Cmty. Prop. LJ, 7, 583.",https://ttu-ir.tdl.org/bitstream/handle/2346/73634/16_7EstPlan&CmtyPropLJ583(2014-2015).pdf?sequence=1,Deadman’s switch,Deadman’s key,"Investors could decide that unconditional access to their wallet is not preferred for security purposes; thus, they may choose to use an ""M-of-N Transaction"" in which investors use multiple signatures to send transactions as a means of added security. 312 This type of transaction necessarily includes three parties: the investor, the intended beneficiary, and a third party.1 Two of the three parties must sign the transaction, and upon the investor's death, the third party and the beneficiary would both need to sign to complete the transaction.3 14 Some investors prefer a multiple signature transaction because the beneficiary would not have access to the investor's entire wallet-only the particular transaction could be accessed.1",,,,
2014,"Noonan, A. K. (2014). Bitcoin or Bust: Can One Really Trust One's Digital Assets. Est. Plan. & Cmty. Prop. LJ, 7, 583.",https://ttu-ir.tdl.org/bitstream/handle/2346/73634/16_7EstPlan&CmtyPropLJ583(2014-2015).pdf?sequence=1,Deadman’s switch,Deadman’s key,"Additionally, because the IRS classified bitcoins as personal property, investors could simply assign their property to solve any estate planning issues.324 The IRS will apply a federal gift tax because the user made a completed gratuitous transfer; the user parted with dominion and control of any interest in the bitcoin property and cannot change the property's disposition for any reason.325 If Bitcoin users do not possess a large quantity of bitcoins, they may want to simply leave the Bitcoin wallet, the private key to the wallet, and instructions on how to access and use the bitcoins to a designated person or family member. 32 6",,,,
2020,"Swambo, J., Hommel, S., McElrath, B., & Bishop, B. (2020). Custody Protocols Using Bitcoin Vaults. arXiv preprint arXiv:2005.11776.",https://arxiv.org/pdf/2005.11776.pdf,,,"Recovery Wallet: The security of the recovery wallet functionality can be characterized as a standard m−of−n multi-signature wallet. Of the n signing keys that are stored on separate, geographically distributed, off-line HMs, the functionality resists up to n−m arbitrary failures in which signing keys are lost and resists arbitrary attacks where up to m−1 of the signing keys are leaked",,,,
2020,"Swambo, J., Hommel, S., McElrath, B., & Bishop, B. (2020). Custody Protocols Using Bitcoin Vaults. arXiv preprint arXiv:2005.11776.",https://arxiv.org/pdf/2005.11776.pdf,,,"4.3 Catastrophic Failure Modes To illustrate how the benefits drawn from the vault custody protocol depend on a secure recovery process, the impact of a compromised recovery wallet will now be discussed in conjunction with other compromised functionalities. 1. Recovery wallet compromise: An attacker who successfully compromises a threshold of signing keys from the recovery wallet (despite the stringent procedural limitations for their accessibility) can (while the wallet owner is unaware) easily claim any funds that are ‘recovered’, after the broadcast of P2RW transactions. The optimal strategy for an attacker here would be to wait for an attempt to recover funds (forced through some other attack or loss scenario) and to claim those funds. In response, once notified of the breach, the wallet owner understands that they should keep the remaining P2RW transactions private and only access funds through the time-locked spending path of the AVTs. The loss incurred here will be limited by the rate that P2RW transactions are broadcast. 2. Recovery wallet and P2RW compromise: An attacker who successfully compromises a sufficient threshold of private keys from the recovery wallet and gains access to the full set of P2RW transactions will have knowledge of the distribution of funds across AVTs. Since they cannot force the wallet owner to attempt to un-vault funds, their best strategy would be to wait for the AVT with a large portion of funds to be broadcast, and to claim it by broadcasting the associated P2RW transaction with a theft transaction. If the breach is detected, the wallet owner could choose to thwart further thefts by keeping the remaining AVTs private and freezing those funds. Alternatively, the wallet owner could attempt to race the attacker by creating transactions with higher priority (or by collaborating directly with a miner). The theft here is limited by the rate of broadcast of AVTs but the loss could be total (if the wallet owner decides to freeze all funds). 3. Recovery wallet and AVT compromise: In the case where an attacker successfully compromises a sufficient threshold of keys from the recovery wallet and the set of AVTs, the strategy space for attack is complicated and depends upon the response of the wallet owner. Assuming that the wallet owner is unaware of the compromise of the recovery wallet but is notified by the watchtower that the set of AVTs has been broadcast by an attacker, the wallet owner would attempt 14/22 to recover funds by broadcasting the P2RW transactions (since allowing the time-locks to expire would reduce the security of all funds to that of the active wallet, which is supposed to be less well secured than the recovery wallet). This would enable the attacker to broadcast theft transactions and attempt to claim all funds. If instead the wallet owner detects or suspects that the recovery wallet is compromised too, they may thwart the attack by keeping the P2RW transactions private and allowing the time-locks to expire, perhaps re-vaulting funds with a new set of recovery devices. This demonstrates a motivation for limiting the rate of release of P2RW transactions when a compromise is suspected. 4. Recovery wallet, AVT and P2RW compromise: An attacker in this case can trigger total recovery of funds by broadcasting all AVTs and P2RW transactions, claiming those funds with theft transactions which evade the time-locked spending paths. A vigilant and swift wallet owner may be able to salvage some of the funds if they can generate transactions that recover funds with higher priority than the attackers’ theft transactions. The amount lost or stolen depends on the ability of the wallet owner to have their transactions mined before the attacker’s theft transactions and ranges from small loss (limited by the amount stolen before the intrusion detection) to total loss of funds. This demonstrates why the storage of covenant transactions should be totally independent from the recovery wallet. Independent storage of AVTs from P2RW transactions also improves resistance to this failure mode. 5. Recovery wallet and watchtower compromise: One might consider ways in which the attacker could convince the wallet owner that the AVTs or active wallet were compromised, in order to trigger a recovery process (broadcasting the P2RW transactions), enabling the attacker to claim all funds with theft transactions. This could be done by maliciously triggering the watchtower with a fake un-vault transaction (a watchtower should be designed to validate un-vault transactions to avoid this). Perhaps there are other ways to attack the watchtower, such as an eclipse attack that convinces the watchtower that an un-vault transaction has occurred (a watchtower should consist of at least two separate nodes with diverse connections). Perhaps a m-i-t-m attack can compromise the communications channel between the watchtower and the wallet owner (a watchtower should have multiple out-of-band communication channels with the wallet owner). If the watchtower is not secure, then this is the worst case scenario and a total loss of funds could occur. Provided at least one of the watchtower machines remains secure and the intrusion is detected, the wallet owner would have to race the attacker by broadcasting recovery transactions with higher priority than the theft transactions in an attempt to salvage some of the losses. Other catastrophic failure modes which don’t involve a compromised recovery wallet include; 6. Active wallet and AVT and watchtower compromise: Consider an attacker who successfully compromises the active wallet signing keys and gains access to the AVTs and manages to stop the watchtower from notifying the wallet owner of attempts to un-vault funds. The attacker can freely broadcast the AVTs, wait for the time-locks to expire, and spend funds using the active wallet’s signing keys. This catastrophic failure could incur a loss of all funds. 7. Failed key deletion/ ephemeral vault key compromise: An attacker who successfully compromises a sufficient threshold of signing keys and addresses from the vault wallet (either during their lifecycle or by recovery after deletion) could revoke the covenants which control funds and by-pass their constraints. A set of theft transactions could be created which spend all funds that were thought to be controlled by AVTs. The wallet owner may be alerted of this provided the watchtower can detect attempts to spend from vault deposit outputs. Then the wallet owner would be in a race to have the AVTs mined before the theft transactions. 8. Failed Key deletion/ ephemeral vault key and watchtower compromise: An attacker who successfully compromises a sufficient threshold of signing keys and addresses from the vault wallet (either during their lifecycle or by recovery after deletion) and gains control of the watchtower can broadcast arbitrary theft transactions without the wallet owner being notified. This scenario is the worst case, resulting in a total loss of vaulted funds.",,,,
2021,"Buterin, V. (11. January 2021). Why we need wide adoption of social recovery wallets. Retrieved November 2021 from https://vitalik.ca/general/2021/01/11/recovery.html
",https://vitalik.ca/general/2021/01/11/recovery.html,Social Recovery wallet,,"the reality is that the whole point of digital technology, blockchains included, is to make it easier for humans to engage in very complicated tasks without having to exert extreme mental effort or live in constant fear of making mistakes. 

What we need is a wallet design which satisfies three key criteria:
No single point of failure: there is no single thing (and ideally, no collection of things which travel together) which, if stolen, can give an attacker access to your funds, or if lost, can deny you access to your funds.
Low mental overhead: as much as possible, it should not require users to learn strange new habits or exert mental effort to always remember to follow certain patterns of behavior.
Maximum ease of transacting: most normal activities should not require much more effort than they do in regular wallets (eg. Status, Metamask...)",,,,
2021,"Buterin, V. (11. January 2021). Why we need wide adoption of social recovery wallets. Retrieved November 2021 from https://vitalik.ca/general/2021/01/11/recovery.html
",https://vitalik.ca/general/2021/01/11/recovery.html,Social Recovery wallet,,"The best-in-class technology for solving these problems back in 2013 was multisig. You could have a wallet that has three keys, where any two of them are needed to send a transaction.


This technology was originally developed within the Bitcoin ecosystem, but excellent multisig wallets (eg. see Gnosis Safe) now exist for Ethereum too. Multisig wallets have been highly successful within organizations: the Ethereum Foundation uses a 4-of-7 multisig wallet to store its funds, as do many other orgs in the Ethereum ecosystem.
For a multisig wallet to hold the funds for an individual, the main challenge is: who holds the funds, and how are transactions approved?
",,,,
